PERMNO,date,DIVAMT,RETX
10104,2020-03-24,,0.082598
10104,2020-03-25,,-0.039716
10104,2020-03-26,,0.098825
10104,2020-03-27,,-0.012876
10104,2020-03-30,,0.010636
10104,2020-03-31,,-0.040310
10104,2020-04-01,,0.007863
10104,2020-04-02,,0.022377
10104,2020-04-03,,-0.008032
10104,2020-04-06,,0.042308
10104,2020-04-07,,-0.014178
10104,2020-04-08,0.24000,0.026990
10104,2020-04-09,,0.020142
10104,2020-04-13,,-0.003949
10104,2020-04-14,,0.019445
10104,2020-04-15,,-0.015556
10104,2020-04-16,,0.010158
10104,2020-04-17,,0.017132
10104,2020-04-20,,-0.012999
10104,2020-04-21,,-0.048229
10104,2020-04-22,,0.018710
10104,2020-04-23,,-0.005739
10104,2020-04-24,,0.020011
10104,2020-04-27,,0.006791
10104,2020-04-28,,-0.003185
10104,2020-04-29,,0.012782
10104,2020-04-30,,-0.016889
10104,2020-05-01,,-0.022277
10104,2020-05-04,,-0.000772
10104,2020-05-05,,0.005797
10104,2020-05-06,,-0.003650
10104,2020-05-07,,0.014269
10104,2020-05-08,,0.018441
10104,2020-05-11,,-0.000747
10104,2020-05-12,,-0.023538
10104,2020-05-13,,-0.011861
10104,2020-05-14,,0.024395
10104,2020-05-15,,0.000189
10104,2020-05-18,,0.004346
10104,2020-05-19,,-0.015240
10104,2020-05-20,,0.010699
10104,2020-05-21,,-0.012854
10104,2020-05-22,,0.007660
10104,2020-05-26,,0.003041
10104,2020-05-27,,0.007958
10104,2020-05-28,,0.007895
10104,2020-05-29,,0.002797
10104,2020-06-01,,-0.013204
10104,2020-06-02,,0.004146
10104,2020-06-03,,0.003941
10104,2020-06-04,,-0.011965
10104,2020-06-05,,0.021381
10104,2020-06-08,,0.020748
10104,2020-06-09,,-0.016697
10104,2020-06-10,,-0.001292
10104,2020-06-11,,-0.051746
10104,2020-06-12,,0.010719
10104,2020-06-15,,0.026803
10104,2020-06-16,,0.025164
10104,2020-06-17,,-0.056237
10104,2020-06-18,,0.042120
10104,2020-06-19,,0.013224
10104,2020-06-22,,0.013235
10104,2020-06-23,,0.001270
10104,2020-06-24,,-0.013589
10104,2020-06-25,,0.001653
10104,2020-06-26,,-0.006418
10104,2020-06-29,,0.010705
10104,2020-06-30,,0.009313
10104,2020-07-01,,0.003980
10104,2020-07-02,,0.008110
10104,2020-07-06,,0.011798
10104,2020-07-07,,-0.005124
