Date,	TB3MS,	SP500,	Dividend,	Earnings,	Risk-free
01/05/45	,0.38	,14.82	    ,0.65	,0.99	,1.000316116
01/06/45	,0.38	,15.09	    ,0.65	,1.00	,1.000316116
01/07/45	,0.38	,14.78	    ,0.65	,1.00	,1.000316116
01/08/45	,0.38	,14.83	    ,0.66	,0.99	,1.000316116
01/09/45	,0.38	,15.84	    ,0.66	,0.99	,1.000316116
01/10/45	,0.38	,16.50	    ,0.66	,0.98	,1.000316116
01/11/45	,0.38	,17.04	    ,0.66	,0.97	,1.000316116
01/12/45	,0.38	,17.33	    ,0.66	,0.96	,1.000316116
01/01/46	,0.38	,18.02	    ,0.67	,0.94	,1.000316116
01/02/46	,0.38	,18.07	    ,0.67	,0.92	,1.000316116
01/03/46	,0.38	,17.53	    ,0.68	,0.90	,1.000316116
01/04/46	,0.38	,18.66	    ,0.68	,0.88	,1.000316116
01/05/46	,0.38	,18.70	    ,0.68	,0.86	,1.000316116
01/06/46	,0.38	,18.58	    ,0.68	,0.84	,1.000316116
01/07/46	,0.38	,18.05	    ,0.68	,0.86	,1.000316116
01/08/46	,0.38	,17.70	    ,0.69	,0.87	,1.000316116
01/09/46	,0.38	,15.09	    ,0.69	,0.89	,1.000316116
01/10/46	,0.38	,14.75	    ,0.70	,0.95	,1.000316116
01/11/46	,0.38	,14.69	    ,0.70	,1.00	,1.000316116
01/12/46	,0.38	,15.13	    ,0.71	,1.06	,1.000316116
01/01/47	,0.38	,15.21	    ,0.71	,1.13	,1.000316116
01/02/47	,0.38	,15.80	    ,0.72	,1.20	,1.000316116
01/03/47	,0.38	,15.16	    ,0.72	,1.27	,1.000316116
01/04/47	,0.38	,14.60	    ,0.73	,1.33	,1.000316116
01/05/47	,0.38	,14.34	    ,0.75	,1.38	,1.000316116
01/06/47	,0.38	,14.84	    ,0.76	,1.44	,1.000316116
01/07/47	,0.66	,15.77	    ,0.77	,1.48	,1.000548343
01/08/47	,0.75	,15.46	    ,0.78	,1.51	,1.000622862
01/09/47	,0.8	,15.06	    ,0.79	,1.55	,1.000664235
01/10/47	,0.85	,15.45	    ,0.81	,1.57	,1.000705589
01/11/47	,0.92	,15.27	    ,0.82	,1.59	,1.000763453
01/12/47	,0.95	,15.03	    ,0.84	,1.61	,1.00078824
01/01/48	,0.97	,14.83	    ,0.84	,1.64	,1.000804762
01/02/48	,1	    ,14.10	    ,0.85	,1.68	,1.000829538
01/03/48	,1	    ,14.30	    ,0.85	,1.71	,1.000829538
01/04/48	,1	    ,15.40	    ,0.85	,1.76	,1.000829538
01/05/48	,1	    ,16.15	    ,0.85	,1.81	,1.000829538
01/06/48	,1	    ,16.82	    ,0.85	,1.86	,1.000829538
01/07/48	,1	    ,16.42	    ,0.86	,1.93	,1.000829538
01/08/48	,1.06	,15.94	    ,0.86	,2.00	,1.000879071
01/09/48	,1.09	,15.76	    ,0.87	,2.07	,1.000903827
01/10/48	,1.12	,16.19	    ,0.89	,2.14	,1.000928576
01/11/48	,1.14	,15.29	    ,0.91	,2.22	,1.000945072
01/12/48	,1.16	,15.19	    ,0.93	,2.29	,1.000961565
01/01/49	,1.17	,15.36	    ,0.95	,2.32	,1.00096981
01/02/49	,1.17	,14.77	    ,0.96	,2.35	,1.00096981
01/03/49	,1.17	,14.91	    ,0.98	,2.38	,1.00096981
01/04/49	,1.17	,14.89	    ,0.99	,2.39	,1.00096981
01/05/49	,1.17	,14.78	    ,1.01	,2.39	,1.00096981
01/06/49	,1.17	,13.97	    ,1.02	,2.40	,1.00096981
01/07/49	,1.02	,14.76	    ,1.03	,2.40	,1.000846052
01/08/49	,1.04	,15.29	    ,1.03	,2.39	,1.000862563
01/09/49	,1.07	,15.49	    ,1.04	,2.39	,1.000887323
01/10/49	,1.05	,15.89	    ,1.07	,2.37	,1.000870817
01/11/49	,1.08	,16.11	    ,1.11	,2.34	,1.000895575
01/12/49	,1.1	,16.54	    ,1.14	,2.32	,1.000912077
01/01/50	,1.07	,16.88	    ,1.15	,2.34	,1.000887323
01/02/50	,1.12	,17.21	    ,1.16	,2.35	,1.000928576
01/03/50	,1.12	,17.35	    ,1.17	,2.37	,1.000928576
01/04/50	,1.15	,17.84	    ,1.18	,2.43	,1.000953319
01/05/50	,1.16	,18.44	    ,1.19	,2.48	,1.000961565
01/06/50	,1.15	,18.74	    ,1.20	,2.54	,1.000953319
01/07/50	,1.16	,17.38	    ,1.24	,2.60	,1.000961565
01/08/50	,1.2	,18.43	    ,1.29	,2.66	,1.000994542
01/09/50	,1.3	,19.08	    ,1.33	,2.72	,1.001076932
01/10/50	,1.31	,19.87	    ,1.38	,2.76	,1.001085166
01/11/50	,1.36	,19.83	    ,1.42	,2.80	,1.00112633
01/12/50	,1.34	,19.75	    ,1.47	,2.84	,1.001109867
01/01/51	,1.34	,21.21	    ,1.49	,2.84	,1.001109867
01/02/51	,1.36	,22.00	    ,1.50	,2.83	,1.00112633
01/03/51	,1.4	,21.63	    ,1.52	,2.83	,1.001159247
01/04/51	,1.47	,21.92	    ,1.53	,2.79	,1.001216823
01/05/51	,1.55	,21.93	    ,1.55	,2.76	,1.00128258
01/06/51	,1.45	,21.55	    ,1.56	,2.72	,1.001200377
01/07/51	,1.56	,21.93	    ,1.55	,2.65	,1.001290797
01/08/51	,1.62	,22.89	    ,1.53	,2.58	,1.001340079
01/09/51	,1.63	,23.48	    ,1.52	,2.51	,1.00134829
01/10/51	,1.54	,23.36	    ,1.48	,2.49	,1.001274363
01/11/51	,1.56	,22.71	    ,1.45	,2.46	,1.001290797
01/12/51	,1.73	,23.41	    ,1.41	,2.44	,1.00143036
01/01/52	,1.57	,24.19	    ,1.41	,2.43	,1.001299012
01/02/52	,1.54	,23.75	    ,1.42	,2.41	,1.001274363
01/03/52	,1.59	,23.81	    ,1.42	,2.40	,1.001315441
01/04/52	,1.57	,23.74	    ,1.43	,2.38	,1.001299012
01/05/52	,1.67	,23.73	    ,1.44	,2.36	,1.001381127
01/06/52	,1.7	,24.38	    ,1.45	,2.34	,1.001405747
01/07/52	,1.81	,25.08	    ,1.45	,2.35	,1.001495963
01/08/52	,1.83	,25.18	    ,1.45	,2.35	,1.001512357
01/09/52	,1.71	,24.78	    ,1.45	,2.36	,1.001413952
01/10/52	,1.74	,24.26	    ,1.44	,2.37	,1.001438563
01/11/52	,1.85	,25.03	    ,1.42	,2.39	,1.001528747
01/12/52	,2.09	,26.04	    ,1.41	,2.40	,1.001725202
01/01/53	,1.96	,26.18	    ,1.41	,2.41	,1.001618842
01/02/53	,1.97	,25.86	    ,1.41	,2.42	,1.001627028
01/03/53	,2.01	,25.99	    ,1.41	,2.43	,1.001659764
01/04/53	,2.19	,24.71	    ,1.41	,2.46	,1.001806934
01/05/53	,2.16	,24.84	    ,1.42	,2.48	,1.001782422
01/06/53	,2.11	,23.95	    ,1.42	,2.51	,1.001741555
01/07/53	,2.04	,24.29	    ,1.42	,2.52	,1.001684309
01/08/53	,2.04	,24.39	    ,1.42	,2.54	,1.001684309
01/09/53	,1.79	,23.27	    ,1.42	,2.55	,1.001479567
01/10/53	,1.38	,23.97	    ,1.43	,2.54	,1.00114279
01/11/53	,1.44	,24.50	    ,1.44	,2.52	,1.001192152
01/12/53	,1.6	,24.83	    ,1.45	,2.51	,1.001323654
01/01/54	,1.18	,25.46	    ,1.46	,2.52	,1.000978055
01/02/54	,0.97	,26.02	    ,1.46	,2.54	,1.000804762
01/03/54	,1.03	,26.57	    ,1.47	,2.55	,1.000854308
01/04/54	,0.97	,27.63	    ,1.46	,2.57	,1.000804762
01/05/54	,0.76	,28.73	    ,1.46	,2.60	,1.000631138
01/06/54	,0.64	,28.96	    ,1.45	,2.62	,1.000531775
01/07/54	,0.72	,30.13	    ,1.46	,2.62	,1.000598029
01/08/54	,0.92	,30.73	    ,1.46	,2.63	,1.000763453
01/09/54	,1.01	,31.45	    ,1.47	,2.63	,1.000837795
01/10/54	,0.98	,32.18	    ,1.49	,2.68	,1.000813021
01/11/54	,0.93	,33.44	    ,1.52	,2.72	,1.000771716
01/12/54	,1.15	,34.97	    ,1.54	,2.77	,1.000953319
